City_ID,City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
0,1,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1,8,Atar,MR,75.18,clear sky,20.52,-13.05,Oumou Elghoura
2,13,Lorengau,PG,80.31,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
3,14,Rikitea,PF,75.67,clear sky,-23.12,-134.97,Pension Maro'i
4,17,Bubaque,GW,82.24,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
5,20,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
6,25,Cockburn Town,TC,80.6,few clouds,21.46,-71.14,Osprey Beach Hotel
7,29,Guerrero Negro,MX,75.18,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
8,34,Mahebourg,MU,77.0,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
9,37,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
10,43,Touros,BR,84.2,clear sky,-5.2,-35.46,INN NEW HORIZON
11,53,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
12,61,Atuona,PF,78.46,few clouds,-9.8,-139.03,Villa Enata
13,64,Faanui,PF,80.74,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
14,66,Santa Rosa,PH,78.8,few clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
15,70,Avarua,CK,82.4,overcast clouds,-21.21,-159.78,Paradise Inn
16,72,Hithadhoo,MV,82.62,broken clouds,-0.6,73.08,Scoop Guest House
17,73,Isangel,VU,75.11,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
18,80,Iralaya,HN,82.8,overcast clouds,15.0,-83.23,Iglesia morava renovada
19,82,Arraial Do Cabo,BR,84.2,clear sky,-22.97,-42.03,Pousada Porto Praia
20,87,Souillac,MU,77.0,shower rain,-20.52,57.52,Bils' Villa
21,95,Butaritari,KI,82.78,few clouds,3.07,172.79,Isles Sunset Lodge
22,102,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
23,104,Hilo,US,75.99,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
24,110,Sulangan,PH,82.15,light rain,11.14,123.72,Maia's Beach Resort
25,115,Miami,US,82.0,broken clouds,25.77,-80.19,Kimpton EPIC Hotel
27,120,Mount Isa,AU,80.6,few clouds,-20.73,139.5,ibis Styles Mt Isa Verona
28,122,Sao Joao Da Barra,BR,84.2,clear sky,-21.64,-41.05,Pousada Porto De Canoas
29,125,Laje,BR,80.28,overcast clouds,-10.18,-40.97,Pousada Centro
31,131,Maceio,BR,80.6,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
32,133,Cabo San Lucas,MX,82.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
33,143,Benjamin Constant,BR,86.0,light rain,-4.38,-70.03,CASA AVALIADA
34,145,Ambilobe,MG,76.55,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
35,146,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
36,149,Ambon,ID,82.0,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
37,157,Itarema,BR,82.06,clear sky,-2.92,-39.92,Windvillage
38,159,Redlands,US,78.01,clear sky,34.06,-117.18,Dynasty Suites Redlands
39,160,Axim,GH,79.07,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
40,163,Hobyo,SO,78.8,clear sky,5.35,48.53,Halane Hotel and Restaurent
41,164,Kavaratti,IN,82.26,light rain,10.57,72.64,Hotels in Lakshadweep Islands
42,166,Sambava,MG,75.04,clear sky,-14.27,50.17,Melrose
43,167,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
44,174,Port Keats,AU,82.4,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
45,175,Rawson,AR,79.92,clear sky,-43.3,-65.1,Hotel Punta León
46,177,Biak,ID,78.26,overcast clouds,-0.91,122.88,Kost Ariz
47,178,Kantang,TH,76.51,moderate rain,7.41,99.52,Reng Ta Chai Boutique HomeStay
48,181,Praya,CV,75.2,broken clouds,14.92,-23.51,LT Aparthotel
49,183,Calamar,CO,80.6,shower rain,10.25,-74.91,Hostal Katyalex
50,191,Borba,BR,82.06,overcast clouds,-4.39,-59.59,Hotel da Amazônia
51,192,Kloulklubed,PW,75.2,overcast clouds,7.04,134.26,Storyboard Beach Resort
52,202,Alenquer,BR,86.0,few clouds,-1.94,-54.74,Josilene Castro
53,207,Oussouye,SN,78.8,clear sky,12.48,-16.55,Auberge du Routard
54,210,Beruwala,LK,76.98,overcast clouds,6.48,79.98,The Palms Hotel
55,218,Atambua,ID,75.65,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
56,221,Conakry,GN,82.81,broken clouds,9.54,-13.68,Riviera Royal Hotel
57,222,Trincomalee,LK,80.76,light rain,8.57,81.23,Welcombe Hotel
