City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Punta Arenas,CL,-53.15,-70.92,57.2,47,75,47.2,light rain
1,Kapaa,US,22.08,-159.32,78.8,65,75,6.93,broken clouds
2,Peniche,PT,39.36,-9.38,60.01,81,93,4.0,overcast clouds
3,Vila Franca Do Campo,PT,37.72,-25.43,59.0,72,20,23.04,few clouds
4,Ushuaia,AR,-54.8,-68.3,50.0,61,75,28.86,light rain
5,Mae Chan,TH,20.15,99.85,60.8,93,0,3.36,clear sky
6,Egvekinot,RU,66.32,-179.17,2.64,85,20,8.93,few clouds
7,Brae,GB,60.4,-1.35,41.0,86,20,12.75,few clouds
8,Atar,MR,20.52,-13.05,75.18,20,1,4.12,clear sky
9,Simav,TR,39.09,28.98,41.9,64,20,4.18,few clouds
10,Tortoli,IT,39.93,9.66,55.4,87,20,9.17,few clouds
11,Jamestown,US,42.1,-79.24,39.99,100,90,13.87,mist
12,Dingle,PH,11.0,122.67,74.35,89,96,8.37,overcast clouds
13,Lorengau,PG,-2.02,147.27,80.31,81,73,4.7,broken clouds
14,Rikitea,PF,-23.12,-134.97,75.67,76,1,10.0,clear sky
15,Victoria,HK,22.29,114.16,64.99,72,0,9.44,clear sky
16,Barrow,US,71.29,-156.79,8.6,78,90,8.05,light snow
17,Bubaque,GW,11.28,-15.83,82.24,56,99,8.99,overcast clouds
18,Korla,CN,41.76,86.15,23.77,92,79,5.28,broken clouds
19,Cacu,BR,-18.56,-51.13,94.28,28,37,5.48,scattered clouds
20,Vaini,TO,-21.2,-175.2,77.0,78,20,4.7,few clouds
21,Liverpool,GB,53.41,-2.98,48.2,66,100,13.87,overcast clouds
22,Bengkulu,ID,-3.8,102.27,74.8,86,93,5.14,overcast clouds
23,Port Alfred,ZA,-33.59,26.89,63.05,78,28,11.86,scattered clouds
24,Nanortalik,GL,60.14,-45.24,30.2,98,100,9.24,snow
25,Cockburn Town,TC,21.46,-71.14,80.6,61,20,6.93,few clouds
26,Mar Del Plata,AR,-38.0,-57.56,62.6,51,0,11.41,clear sky
27,Airai,TL,-8.93,125.41,61.47,100,99,1.05,overcast clouds
28,Birao,CF,10.28,22.79,71.58,22,1,4.76,clear sky
29,Guerrero Negro,MX,27.98,-114.06,75.18,20,24,6.17,few clouds
30,Esperance,AU,-33.87,121.9,48.2,93,75,9.17,broken clouds
31,Carnarvon,AU,-24.87,113.63,62.6,51,0,21.92,clear sky
32,Mount Gambier,AU,-37.83,140.77,68.0,60,75,13.87,light intensity shower rain
33,Najran,SA,17.49,44.13,71.6,46,40,6.93,scattered clouds
34,Mahebourg,MU,-20.41,57.7,77.0,83,40,12.75,shower rain
35,Bluff,NZ,-46.6,168.33,51.01,81,85,3.0,overcast clouds
36,College,US,64.86,-147.8,1.99,76,40,4.18,scattered clouds
37,Puerto Ayora,EC,-0.74,-90.35,77.0,65,75,4.7,broken clouds
38,Mataura,NZ,-46.19,168.86,51.01,81,38,3.0,scattered clouds
39,Carlisle,US,40.2,-77.19,57.0,96,100,3.0,overcast clouds
40,Yellowknife,CA,62.46,-114.35,19.4,92,90,10.29,light snow
41,Vernon,CA,50.26,-119.27,39.99,86,99,2.24,overcast clouds
42,Guna,IN,24.65,77.32,59.79,43,0,5.95,clear sky
43,Touros,BR,-5.2,-35.46,84.2,58,0,16.11,clear sky
44,Saint-Philippe,RE,-21.36,55.77,73.4,69,0,5.82,clear sky
45,Fairbanks,US,64.84,-147.72,1.99,83,40,4.12,scattered clouds
46,Thompson,CA,55.74,-97.86,15.8,85,75,8.05,broken clouds
47,Itoman,JP,26.12,127.67,68.0,68,75,21.92,broken clouds
48,Sitka,US,57.05,-135.33,37.4,86,75,9.17,light rain
49,Nikolskoye,RU,59.7,30.79,32.0,92,90,6.71,light shower snow
50,Norman Wells,CA,65.28,-126.83,-2.2,77,75,2.24,broken clouds
51,Zhigansk,RU,66.77,123.37,-6.83,91,100,20.67,light snow
52,Khatanga,RU,71.97,102.5,23.54,96,100,25.61,overcast clouds
53,Georgetown,MY,5.41,100.34,80.6,78,20,4.92,few clouds
54,Hermanus,ZA,-34.42,19.23,61.0,85,18,4.0,few clouds
55,Husavik,IS,66.04,-17.34,24.8,85,0,3.36,clear sky
56,Beringovskiy,RU,63.05,179.32,0.66,93,76,10.65,broken clouds
57,Torbay,CA,47.67,-52.73,35.01,72,0,6.89,clear sky
58,Cidreira,BR,-30.18,-50.21,71.74,80,100,12.26,overcast clouds
59,Lebu,CL,-37.62,-73.65,56.46,69,0,23.44,clear sky
60,Karasjok,NO,69.47,25.51,30.2,63,0,36.91,clear sky
61,Atuona,PF,-9.8,-139.03,78.46,77,11,20.2,few clouds
62,Qaanaaq,GL,77.48,-69.36,-6.14,79,87,7.52,overcast clouds
63,Busselton,AU,-33.65,115.33,46.99,94,56,5.1,broken clouds
64,Faanui,PF,-16.48,-151.75,80.74,77,11,11.48,few clouds
65,Hovd,MN,48.01,91.64,13.23,90,100,2.28,overcast clouds
66,Santa Rosa,PH,14.31,121.11,78.8,65,20,5.82,few clouds
67,Teknaf,BD,20.86,92.31,70.57,79,0,4.27,clear sky
68,Cape Town,ZA,-33.93,18.42,62.01,82,75,6.93,broken clouds
69,Dikson,RU,73.51,80.55,30.15,99,99,16.42,light snow
70,Avarua,CK,-21.21,-159.78,82.4,78,100,13.87,overcast clouds
71,Cap-Aux-Meules,CA,47.38,-61.86,41.0,75,100,11.41,overcast clouds
72,Hithadhoo,MV,-0.6,73.08,82.62,65,57,6.26,broken clouds
73,Isangel,VU,-19.55,169.27,75.11,63,100,7.87,overcast clouds
74,Jalu,LY,29.03,21.55,60.67,57,0,12.01,clear sky
75,Bethel,US,41.37,-73.41,60.8,87,90,26.4,mist
76,Lata,PT,40.16,-8.33,57.99,86,100,4.56,overcast clouds
77,Klaksvik,FO,62.23,-6.59,33.8,80,93,6.17,overcast clouds
78,Port Elizabeth,ZA,-33.92,25.57,62.6,77,37,10.29,scattered clouds
79,Antalaha,MG,-14.9,50.28,74.93,80,28,1.57,scattered clouds
80,Iralaya,HN,15.0,-83.23,82.8,69,99,7.56,overcast clouds
81,Saint Anthony,US,45.02,-93.22,28.99,49,1,3.85,clear sky
82,Arraial Do Cabo,BR,-22.97,-42.03,84.2,65,0,23.04,clear sky
83,Clyde River,CA,70.47,-68.59,-16.6,75,5,4.7,clear sky
84,Kusti,SD,13.16,32.66,74.89,27,0,10.13,clear sky
85,Cherskiy,RU,68.75,161.3,-7.47,91,100,6.55,overcast clouds
86,Anadyr,RU,64.75,177.48,-16.6,75,86,4.47,fog
87,Souillac,MU,-20.52,57.52,77.0,83,40,12.75,shower rain
88,Saldanha,ZA,-33.01,17.94,64.4,72,57,6.93,broken clouds
89,Bredasdorp,ZA,-34.53,20.04,60.8,72,0,10.29,clear sky
90,Yarmouth,US,41.71,-70.23,57.99,93,90,14.99,light rain
91,Albany,US,42.6,-73.97,53.01,100,90,9.17,mist
92,Aranda De Duero,ES,41.67,-3.69,45.1,66,4,3.42,clear sky
93,Atikokan,CA,48.76,-91.62,22.1,90,0,2.66,clear sky
94,Hobart,AU,-42.88,147.33,64.4,59,75,16.11,broken clouds
95,Butaritari,KI,3.07,172.79,82.78,77,17,19.24,few clouds
96,Misratah,LY,32.38,15.09,66.42,73,18,15.35,few clouds
97,Sabha,LY,27.04,14.43,57.7,37,49,8.63,scattered clouds
98,San Patricio,US,28.02,-97.52,57.0,42,75,18.34,broken clouds
99,Tiksi,RU,71.69,128.87,2.46,88,100,34.23,overcast clouds
100,Onega,RU,63.91,38.14,32.94,96,100,11.39,overcast clouds
101,Albion,US,42.24,-84.75,33.8,74,90,9.17,overcast clouds
102,Bathsheba,BB,13.22,-59.52,82.4,78,40,13.87,scattered clouds
103,Chuy,UY,-33.7,-53.46,65.12,62,0,11.23,clear sky
