City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2020-11-29 05:22:35,-46.19,168.86,60.01,58,72,8.99
1,Avarua,CK,2020-11-29 05:24:29,-21.21,-159.78,78.8,94,100,9.17
2,Rikitea,PF,2020-11-29 05:24:27,-23.12,-134.97,76.44,83,100,11.23
3,Qinnan,CN,2020-11-29 05:25:17,33.25,119.91,48.15,51,20,5.17
4,Herat,AF,2020-11-29 05:25:17,34.5,62.0,42.8,81,75,2.24
5,Hilo,US,2020-11-29 05:22:35,19.73,-155.09,75.2,73,75,5.82
6,Bengkulu,ID,2020-11-29 05:24:32,-3.8,102.27,82.22,71,100,8.23
7,Tianpeng,CN,2020-11-29 05:25:17,30.99,103.94,50.0,76,40,4.47
8,Vao,NC,2020-11-29 05:25:17,-22.67,167.48,73.04,66,20,13.53
9,Belen,TR,2020-11-29 05:25:17,36.49,36.22,37.4,100,90,2.24
10,Spassk,RU,2020-11-29 05:25:17,52.75,87.75,16.47,88,31,2.35
11,Burhanpur,IN,2020-11-29 05:25:17,21.3,76.23,81.37,40,0,7.29
12,Ushuaia,AR,2020-11-29 05:22:44,-54.8,-68.3,41.0,80,40,12.75
13,Cape Town,ZA,2020-11-29 05:21:41,-33.93,18.42,64.0,67,0,4.7
14,Pangody,RU,2020-11-29 05:25:17,65.85,74.49,1.02,93,72,9.62
15,Jamestown,US,2020-11-29 05:24:25,42.1,-79.24,33.8,69,1,9.17
16,Russkaya Polyana,UA,2020-11-29 05:25:18,49.42,31.92,36.3,96,100,2.82
17,Thompson,CA,2020-11-29 05:24:33,55.74,-97.86,15.8,85,90,6.93
18,Mount Darwin,ZW,2020-11-29 05:25:18,-16.77,31.58,72.93,74,92,7.09
19,Abbeville,FR,2020-11-29 05:25:18,50.1,1.83,39.2,86,0,4.7
20,Namibe,AO,2020-11-29 05:24:04,-15.2,12.15,71.53,77,90,2.73
21,New Norfolk,AU,2020-11-29 05:23:05,-42.78,147.06,68.0,46,41,3.0
22,Punta Arenas,CL,2020-11-29 05:22:06,-53.15,-70.92,39.2,86,0,23.04
23,Tigil,RU,2020-11-29 05:25:18,57.8,158.67,2.71,85,0,3.36
24,Vaitape,PF,2020-11-29 05:25:18,-16.52,-151.75,82.83,74,62,8.37
25,Vaini,TO,2020-11-29 05:24:34,-21.2,-175.2,80.6,74,75,17.22
26,Hermanus,ZA,2020-11-29 05:24:30,-34.42,19.23,61.0,81,31,4.0
27,Aginskoye,RU,2020-11-29 05:25:18,51.1,114.53,12.97,85,0,12.21
28,Nicoya,CR,2020-11-29 05:25:18,10.15,-85.45,73.4,100,0,2.24
29,Antofagasta,CL,2020-11-29 05:25:02,-23.65,-70.4,60.8,87,90,8.05
30,Zavetnoye,RU,2020-11-29 05:25:19,47.12,43.89,43.41,83,100,18.92
31,Souillac,MU,2020-11-29 05:25:19,-20.52,57.52,78.8,83,40,16.11
32,Tucuman,AR,2020-11-29 05:21:50,-26.82,-65.22,77.0,78,0,6.93
33,High Level,CA,2020-11-29 05:24:36,58.52,-117.14,-5.8,83,5,4.61
34,Port Alfred,ZA,2020-11-29 05:24:32,-33.59,26.89,65.44,72,34,17.07
35,Kapaa,US,2020-11-29 05:24:27,22.08,-159.32,73.4,83,75,18.34
36,Deputatskiy,RU,2020-11-29 05:25:19,69.3,139.9,-11.78,91,100,4.92
37,Geilo,NO,2020-11-29 05:25:19,60.53,8.21,23.0,91,0,5.28
38,Ciudad Guayana,VE,2020-11-29 05:25:19,8.35,-62.65,78.01,93,89,1.99
39,Ponta Do Sol,PT,2020-11-29 05:24:28,32.67,-17.1,55.4,71,40,5.82
40,Pisco,PE,2020-11-29 05:24:40,-13.7,-76.22,64.99,88,100,8.05
41,Hobart,AU,2020-11-29 05:21:55,-42.88,147.33,68.0,42,75,19.46
42,San Cristobal,VE,2020-11-29 05:24:46,7.77,-72.22,63.37,91,86,1.81
43,Mastung,PK,2020-11-29 05:25:19,29.8,66.84,58.03,28,18,1.61
44,Harper,LR,2020-11-29 05:24:45,4.38,-7.72,77.65,84,41,5.84
45,Busselton,AU,2020-11-29 05:24:26,-33.65,115.33,65.95,50,100,14.74
46,Los Llanos De Aridane,ES,2020-11-29 05:24:56,28.66,-17.92,64.4,72,75,5.82
47,Mar Del Plata,AR,2020-11-29 05:24:26,-38.0,-57.56,64.99,100,90,1.32
48,Mahina,PF,2020-11-29 05:25:20,-17.51,-149.49,80.6,83,40,11.41
49,Ivanteyevka,RU,2020-11-29 05:25:20,55.97,37.92,34.0,96,90,15.66
50,Pitimbu,BR,2020-11-29 05:25:20,-7.47,-34.81,73.4,88,20,4.7
51,Sao Filipe,CV,2020-11-29 05:25:20,14.9,-24.5,74.59,73,100,13.33
52,Togur,RU,2020-11-29 05:25:20,58.36,82.83,8.33,93,0,2.75
53,Guerrero Negro,MX,2020-11-29 05:24:41,27.98,-114.06,59.77,63,0,1.9
54,Tuktoyaktuk,CA,2020-11-29 05:24:32,69.45,-133.04,5.0,84,75,3.36
55,Bluff,NZ,2020-11-29 05:24:27,-46.6,168.33,60.01,58,28,8.99
56,Karawang,ID,2020-11-29 05:25:21,-6.3,107.31,89.6,59,40,11.41
57,Georgetown,MY,2020-11-29 05:24:10,5.41,100.34,86.0,70,20,4.7
58,Asyut,EG,2020-11-29 05:25:21,27.18,31.18,53.6,76,0,4.7
59,Faanui,PF,2020-11-29 05:24:40,-16.48,-151.75,81.99,75,58,8.39
